author,conference,title,year
{'Guilin Qi'},AAAI,a model-based approach for merging prioritized knowledge bases in possibilistic logic.,2007
"{'Michael L. Littman', 'Alexander L. Strehl', 'Carlos Diuk'}",AAAI,efficient structure learning in factored-state mdps.,2007
"{'Mingsheng Ying', 'Lirong Xia', 'Jérôme Lang'}",AAAI,strongly decomposable voting rules on multiattribute domains.,2007
"{'Maria Fox', 'Jonathan Gough', 'Derek Long'}",AAAI,detecting execution failures using learned action models.,2007
"{'David B. Cooper', 'Ibrahim Eden'}",AAAI,robust estimation of 3-d line segments from satellite images for model building and change detection.,2007
{'Katsutoshi Hirayama'},AAAI,an alpha-approximation protocol for the generalized mutual assignment problem.,2007
"{'Yifeng Zeng', 'Prashant Doshi', 'Qiongyu Chen'}",AAAI,approximate solutions of interactive dynamic influence diagrams using model clustering.,2007
{'Marc Pickett'},AAAI,the übercruncher: concept formation by analogy discovery.,2007
"{'Julien Vion', 'Christophe Lecoutre', 'Stéphane Cardon'}",AAAI,conservative dual consistency.,2007
"{'Stephen Tratz', 'Andrew J. Cowell', 'Amanda K. Cowell', 'Line C. Pouchard', 'A. M. Boek', 'Antonio Sanfilippo', 'Christian Posse'}",AAAI,content analysis for proactive intelligence: marshaling frame evidence.,2007
"{'Marie-Christine Rousset', 'Fatiha Saïs', 'Nathalie Pernelle'}",AAAI,l2r: a logical method for reference reconciliation.,2007
{'Ole J. Mengshoel'},AAAI,macroscopic models of clique tree growth for bayesian networks.,2007
{'Jie Zhang'},AAAI,an incentive mechanism for promoting honesty in e-marketplaces.,2007
{'Akshay Java'},AAAI,"a framework for modeling influence, opinions and structure in social media.",2007
"{'Guihua Sun', 'Xiaohua Liu', 'Ming Zhou', 'Gao Cong', 'Chin-Yew Lin'}",AAAI,mining sequential patterns and tree patterns to detect erroneous sentences.,2007
"{'Min-Ling Zhang', 'Zhi-Hua Zhou'}",AAAI,multi-label learning by instance differentiation.,2007
"{'Susan Craw', 'Nirmalie Wiratunga', 'Stewart Massie'}",AAAI,informed case base maintenance: a complexity profiling approach.,2007
{'James E. Clune'},AAAI,heuristic evaluation functions for general game playing.,2007
"{'Sridhar Mahadevan', 'Jeffrey Johns', 'Chang Wang 0001'}",AAAI,compact spectral bases for value function approximation using kronecker factorization.,2007
"{'Jianhua Feng', 'Yi Wang 0008', 'Shi-Xia Liu'}",AAAI,learn to compress and restore sequential data.,2007
"{'Chengqi Zhang', 'Xiaofeng Zhu', 'Jilian Zhang', 'Shichao Zhang'}",AAAI,cost-sensitive imputing missing values with ordering.,2007
"{'Jihie Kim', 'Gaurang Mehta', 'Yolanda Gil', 'Varun Ratnakar', 'Ewa Deelman'}",AAAI,wings for pegasus: creating large-scale scientific applications using semantic representations of computational workflows.,2007
"{'Penousal Machado', 'Dwight Krehbiel', 'Luca Pellicoro', 'Juan Romero', 'Bill Z. Manaris', 'Patrick Roos'}",AAAI,a corpus-based hybrid approach to music analysis and composition.,2007
